Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,weather,Period,Week_Day,Is_Holiday,City
malay,male,moderate,28,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20,2,9,1,Dense fog,Night,Monday,no,Sepang
,male,thin,32,no,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,,6,9,no,19,4,21,3,Dense fog,Night,Monday,no,Sepang
malay,female,moderate,30,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no,18,2,13,1,Dense fog,Night,Monday,no,Sepang
indian,male,thin,51,no,no_kids,,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13,2,16,1,Dense fog,Night,Monday,no,Sepang
indian,male,,34,no,no_kids,big,blue,casual,blue,,white,long,clothes,3,9,,15,1,13,3,Dense fog,Night,Monday,no,Sepang
,male,fat,50,no,no_kids,,,casual,brown,,blue_jeans,long,clothes,4,8,no,35,5,16,3,Dense fog,Night,Monday,no,Sepang
,female,fat,45,no,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no,30,3,17,2,Dense fog,Night,Monday,no,Putrajaya
indian,male,thin,49,,,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,,46,0,16,3,Dense fog,Late Night,Tuesday,no,Sepang
indian,male,thin,30,no,no_kids,small,purple,casual,,short_sleeve,black,short,,6,10,no,60,4,17,2,Dense fog,Late Night,Tuesday,no,Putrajaya
chinese,,moderate,33,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no,23,0,10,3,Dense fog,Late Night,Tuesday,no,Sepang
,female,,45,no,no_kids,big,red,,,short_sleeve,grey,short,,4,8,no,56,2,21,3,Dense fog,Late Night,Tuesday,no,Sepang
,male,moderate,37,no,no_kids,big,blue,casual,brown,short_sleeve,,long,,4,8,,,5,18,3,Dense fog,Early Morning,Tuesday,no,Sepang
malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15,1,7,3,Dense fog,Early Morning,Tuesday,no,Putrajaya
,male,moderate,32,no,no_kids,big,yellow,,yellow,short_sleeve,black,long,clothes,3,9,yes,15,2,7,1,Dense fog,Morning,Tuesday,no,Putrajaya
malay,female,moderate,55,yes,young,big,red,,brown,long sleeve,grey,long,clothes,3,8,yes,23,1,11,3,Dense fog,Morning,Tuesday,no,Sepang
,male,thin,33,no,no_kids,big,brown,formal,,long sleeve,brown,long,,5,9,,39,0,9,1,Dense fog,Morning,Tuesday,no,Putrajaya
malay,female,thin,55,yes,toddler,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46,,11,1,Dense fog,Morning,Tuesday,no,Sepang
malay,male,fat,,yes,toddler,big,,,grey,,grey,long,clothes,5,9,no,53,3,,,Dense fog,Morning,Tuesday,no,Sepang
malay,female,fat,55,yes,,big,blue,traditional,,long sleeve,orange,long,clothes,6,7,,48,2,16,1,Dense fog,Morning,Tuesday,no,Sepang
malay,female,moderate,50,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35,,8,2,Dense fog,Morning,Tuesday,no,Sepang
indian,male,fat,34,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,,5,17,1,Dense fog,Morning,Tuesday,no,Putrajaya
,male,moderate,53,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15,,19,1,Dense fog,Morning,Tuesday,no,Putrajaya
malay,female,fat,38,yes,young,big,white,casual,red,,blue,long,blankets,3,7,,16,2,,1,Dense fog,Morning,Tuesday,no,Putrajaya
chinese,female,thin,29,no,,small,white,casual,brown,short_sleeve,black,long,,3,7,yes,54,3,10,3,Dense fog,Noon,Tuesday,no,Putrajaya
chinese,female,moderate,44,no,no_kids,big,white,casual,,short_sleeve,,long,clothes,5,7,no,30,,20,1,Dense fog,Noon,Tuesday,no,Sepang
chinese,female,moderate,42,,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22,2,13,3,Dense fog,Noon,Tuesday,no,Putrajaya
chinese,male,thin,41,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no,50,3,18,1,Dense fog,Noon,Tuesday,no,Sepang
,male,thin,36,yes,young,,red,,grey,,white,short,blankets,5,9,yes,20,0,13,3,Dense fog,Noon,Tuesday,no,Putrajaya
